%Vernier Format 2
%tyson-doublevolume-ptbr.cmbl 4/21/2005 18:29:17 .
%Latest
%Time	Signal 1	Signal 2
%t	Signal 1	Signal 2
%s	mV	mV
%
137.5	1089.31062349	256.119653835
137.75	1089.31062349	256.119653835
138	1089.31062349	256.119653835
138.25	1089.31062349	256.119653835
138.5	1088.7441584	256.119653835
138.75	1089.87708857	254.993843386
139	1089.87708857	257.245464283
139.25	1088.7441584	256.682559059
139.5	1088.7441584	256.682559059
139.75	1088.7441584	256.682559059
140	1088.7441584	256.682559059
140.25	1088.17769331	256.682559059
140.5	1087.04476314	256.682559059
140.75	1087.61122823	257.808369507
141	1087.04476314	257.245464283
141.25	1088.17769331	257.245464283
141.5	1087.61122823	257.245464283
141.75	1087.61122823	257.245464283
142	1087.61122823	257.808369507
142.25	1087.04476314	257.808369507
142.5	1087.04476314	257.245464283
142.75	1085.91183297	256.682559059
143	1085.91183297	257.245464283
143.25	1085.34536788	257.245464283
143.5	1085.34536788	256.682559059
143.75	1083.07950753	256.682559059
144	1081.38011227	256.682559059
144.25	1080.2471821	256.119653835
144.5	1079.11425193	256.119653835
144.75	1079.11425193	255.55674861
145	1079.11425193	255.55674861
145.25	1077.98132175	255.55674861
145.5	1077.98132175	255.55674861
145.75	1077.41485667	255.55674861
146	1076.84839158	255.55674861
146.25	1075.7154614	256.119653835
146.5	1075.7154614	254.993843386
146.75	1075.14899632	253.868032938
147	1073.44960106	254.993843386
147.25	1074.01606614	254.993843386
147.5	1073.44960106	254.430938162
147.75	1072.88313597	254.430938162
148	1071.7502058	254.430938162
148.25	1071.7502058	253.868032938
148.5	1071.7502058	254.430938162
148.75	1071.18374071	254.430938162
149	1070.61727562	253.305127713
149.25	1070.05081054	253.305127713
149.5	1070.05081054	253.305127713
149.75	1069.48434545	253.305127713
150	1068.91788036	252.742222489
150.25	1067.78495019	253.305127713
150.5	1066.65202002	252.742222489
150.75	1067.2184851	252.179317265
151	1066.08555493	252.742222489
151.25	1066.08555493	252.742222489
151.5	1065.51908984	252.179317265
151.75	1063.81969458	252.179317265
152	1064.38615967	252.179317265
152.25	1063.2532295	251.616412041
152.5	1062.12029932	252.179317265
152.75	1061.55383424	251.616412041
153	1059.85443898	251.616412041
